SMSA_name,Per_capita_Retail_sales ,Per_capita_Retail_Establishments,Per_capita_income,Per_capita_federal_expenditures,Males_per_100_females 
"Hancock, WV",4.9,1.019,17.718,3.7,92
"Hanover, VA",7.252,0.972,20.325,2.039,96
"Hardin, TX",5.735,1.029,15.711,2.986,96
"Harford, MD",6.739,0.782,19.768,5.437,100
"Harris, GA",1.841,0.815,17.147,2.669,98
"Harris, TX",8.68,1.024,22.252,2.975,99
"Harrison, IN",4.729,0.998,15.814,2.423,99
"Harrison, MS",7.016,1.104,14.679,6.838,98
"Harrison, TX",5.112,0.824,15.106,4.47,93
"Hartford, CT",9.019,1.014,26.079,4.786,93
"Harvey, KS",5.638,1.178,18.781,3.321,94
"Hawkins, TN",3.744,0.765,14.625,5.513,96
"Hays, TX",6.16,1.078,15.072,2.636,101
"Henderson, KY",7.684,1.04,16.855,2.61,93
"Henderson, TX",4.807,1.055,14.456,2.541,94
"Hendricks, IN",5.488,0.833,20.082,1.61,102
"Hennepin, MN",10.537,0.997,27.175,4.301,94
"Henrico, VA",7.462,0.825,24.383,1.311,87
"Henry, GA",4.485,0.781,16.949,2.5,98
"Henry, IL",5.791,1.043,16.382,3.056,96
"Herkimer, NY",4.928,1.318,15.152,3.971,94
"Hernando, FL",5.537,0.914,14.939,4.217,93
"Hidalgo, TX",6.8,0.875,9.804,2.686,94
"Hillsborough, FL",9.205,1.069,18.405,3.628,95
"Hillsborough, NH",10.222,1.14,22.722,4.091,96
"Hinds, MS",8.749,1.004,17.479,5.275,88
"Honolulu, HI",9.957,1.044,24.417,6.487,103
"Hood, TX",9.021,1.542,19.411,2.92,99
"Horry, SC",11.895,1.936,16.028,3.378,96
"Houston, AL",10.207,1.312,17.408,3.074,90
"Houston, GA",9.43,0.877,16.375,10.164,96
"Houston, MN",3.526,1.084,16.315,2.969,99
"Howard, IN",9.096,1.194,19.294,2.909,92
"Howard, MD",6.804,0.953,27.62,2.941,99
"Hudson, NJ",6.277,1.055,21.221,4.174,94
"Hunt, TX",6.097,1.201,16.432,6.753,95
"Hunterdon, NJ",8.642,1.23,30.107,2.149,100
"Huntington, IN",5.209,1.14,17.703,2.698,94
"Ingham, MI",8.967,0.966,18.976,5.329,93
"Isanti, MN",4.678,0.88,16.018,2.367,100
"Island, WA",4.036,0.892,17.345,6.697,106
"Isle of Wight, VA",3.828,0.807,17.852,2.795,95
"Jackson, MI",6.77,0.878,16.718,2.882,104
"Jackson, MO",8.114,0.98,20.149,5.851,91
"Jackson, MS",5.339,0.846,15.333,18.247,97
"Jackson, OR",9.62,1.23,17.353,3.479,96
"James City, VA",6.092,1.122,28.846,1.106,96
"Jasper, MO",10.089,1.462,16.613,3.595,91
"Jefferson, AL",9.201,1.001,19.897,4.378,88
"Jefferson, AR",7.082,1.062,14.216,4.855,93
"Jefferson, CO",8.463,1.055,22.561,4.949,98
"Jefferson, KY",8.769,0.992,21.531,3.773,90
"Jefferson, LA",9.896,1.035,18.193,2.886,93
"Jefferson, MO",5.013,0.758,15.487,1.72,99
"Jefferson, OH",6.384,1.015,15.946,4.35,90
"Jefferson, TX",8.537,1.096,18.931,4.048,92
"Jefferson, WV",4.187,1.023,17.137,3.393,97
"Jersey, IL",5.815,0.916,15.532,2.517,96
"Jessamine, KY",6.355,0.896,15.111,1.843,97
"Johnson, IA",7.872,0.932,18.897,3.516,99
"Johnson, IN",8.789,1.127,19.83,2.174,95
"Johnson, KS",10.616,1.091,27.927,2.654,94
"Johnson, TX",6.104,1.159,15.694,2.278,98
"Johnston, NC",6.868,1.19,16.675,2.692,95
"Jones, GA",1.147,0.395,16.641,1.429,94
"Kalamazoo, MI",8.676,0.932,20.603,2.866,93
"Kanawha, WV",9.356,0.972,19.719,5.382,90
"Kane, IL",8.019,0.96,21.492,2.914,99
"Kane, UT",6.288,1.636,13.847,2.734,102
"Kankakee, IL",7.306,0.915,16.996,3.523,94
"Kaufman, TX",6.277,1.397,15.946,3.446,96
"Kendall, IL",4.481,0.691,19.999,1.338,100
"Kenosha, WI",7.23,0.98,18.078,2.712,96
"Kent, DE",9.395,1.091,16.115,5.531,96
"Kent, MI",8.974,0.916,20.609,2.691,94
"Kent, RI",10.538,1.206,20.807,3.365,92
"Kenton, KY",5.802,0.817,18.731,3.653,93
"Kern, CA",6.101,0.858,15.968,4.39,104
"King George, VA",3.074,0.719,18.619,23.327,100
"King, WA",9.732,1.121,27.753,4.498,97
"Kings, NY",3.184,0.682,18.954,15.178,87
"Kitsap, WA",7.186,0.938,18.618,8.736,105
"Knox, TN",10.623,1.223,19.592,3.803,92
"La Crosse, WI",10.263,1.077,18.579,2.964,93
"Lackawanna, PA",7.464,1.201,18.692,4.694,88
"Lafayette, LA",9.68,1.107,17.469,2.34,94
"Lafayette, MO",4.663,1.091,16.799,3.218,96
"Lafourche, LA",5.012,0.945,13.274,2.434,96
"Lake, FL",6.951,1.066,17.343,4.096,92
"Lake, IL",9.988,0.983,30.623,3.045,102
"Lake, IN",7.56,0.881,17.9,3.316,92
"Lake, OH",9.393,1.016,20.4,2.402,95
"Lamar, MS",2.589,0.607,13.753,1.973,95
"Lancaster, NE",8.09,1.031,19.478,4.262,96
"Lancaster, PA",7.916,1.294,20.068,2.598,95
"Lane, OR",8.624,1.148,17.277,3.141,95
"Lapeer, MI",6.013,0.89,17.195,1.934,101
"Laramie, WY",9.313,1.057,19.328,7.077,99
"Larimer, CO",8.4,1.239,18.401,2.629,98
"Lauderdale, AL",8.01,1.276,16.067,3.214,91
"Lawrence, AL",3.054,0.864,13.767,3.202,97
"Lawrence, OH",5.219,0.794,13.905,3.53,91
"Leavenworth, KS",4.416,0.728,15.331,7.126,120
"Lebanon, PA",7.329,1.195,18.405,4.597,96
"Lee, FL",9.877,1.241,20.353,3.804,94
"Lee, GA",0.799,0.449,14.002,1.631,103
"Lehigh, PA",9.348,1.153,21.637,3.183,93
"Lenawee, MI",6.327,1.018,17.348,2.715,100
"Leon, FL",8.644,0.946,17.974,9.015,93
"Lexington, SC",7.169,1.081,18.24,2.002,95
"Liberty, TX",5.967,1.147,15.33,3.173,100
"Licking, OH",6.756,0.926,17.589,3.151,94
"Limestone, AL",5.434,1.001,16.376,2.961,100
"Lincoln, MO",4.758,0.99,15.459,2.453,100
"Lincoln, NC",4.996,1.029,16.302,2.052,97
"Lincoln, SD",3.631,0.869,19.168,2.909,99
"Linn, IA",9.182,1.1,20.428,4.333,95
"Livingston, LA",3.866,0.736,14.237,1.922,98
"Livingston, MI",6.482,0.75,21.573,1.63,102
"Livingston, NY",5.325,1.038,16.844,2.373,95
"Logan, OK",3.275,0.856,15.244,3.522,96
"Lonoke, AR",4.904,1.042,15.756,3.286,97
"Lorain, OH",6.683,0.827,17.483,2.793,96
"Los Alamos, NM",4.645,0.847,27.668,64.561,103
"Los Angeles, CA",7.29,0.987,21.653,4.438,100
"Loudon, TN",5.044,0.946,15.925,3.738,93
"Loudoun, VA",9.058,1.05,25.707,2.874,99
"Lubbock, TX",9.076,1.191,17.019,3.248,97
"Lucas, OH",8.572,0.896,19.407,3.509,91
"Luzerne, PA",7.439,1.181,18.388,4.633,90
"Lycoming, PA",7.789,1.211,17.115,3.611,93
"Macomb, MI",9.664,0.938,21.618,4.058,95
"Macon, IL",8.714,1.03,19.17,3.191,91
"Madera, CA",4.877,0.899,14.988,2.713,106
"Madison, AL",8.269,1.046,21.037,15.706,97
"Madison, GA",1.842,0.652,14.523,2.392,96
"Madison, IL",6.66,0.951,18.796,3.78,92
"Madison, IN",7.28,0.999,16.771,3.243,96
"Madison, KY",7.227,1.151,14.454,3.389,91
"Madison, MS",8.995,1.227,15.993,4.826,90
"Madison, NC",3.196,1.027,13.672,4.525,97
"Madison, NY",5.469,1.153,17.072,2.466,97
"Madison, OH",4.861,0.865,15.055,2.282,122
"Madison, TN",9.162,1.227,17.242,3.658,89
"Mahoning, OH",7.802,1.041,17.435,3.989,90
"Manatee, FL",7.55,1.055,20.877,3.782,90
"Marathon, WI",7.857,1.064,17.858,2.598,98
"Maricopa, AZ",8.36,0.935,19.416,3.718,97
"Marin, CA",10.641,1.456,37.329,2.778,98
"Marion, FL",7.719,1.114,15.647,3.739,93
"Marion, IN",10.358,1.011,21.445,5.181,91
"Marion, OR",7.966,0.984,16.923,4.157,98
"Marion, TN",6.653,1.097,13.79,3.293,96
"Marshall, WV",5.253,0.901,14.859,3.335,95
"Martin, FL",10.179,1.451,29.817,3.979,97
"Mathews, VA",3.325,1.151,19.856,4.473,92
"McClain, OK",6.003,1.011,15.034,2.453,100
"McDuffie, GA",8.891,1.192,15.121,2.896,89
"McHenry, IL",6.688,0.884,22.348,2.014,100
"McLean, IL",8.677,0.99,19.873,2.294,92
"McLennan, TX",7.482,1.134,16.235,4.147,94
"Mecklenburg, NC",10.135,1.121,23.531,2.677,93
"Medina, OH",7.139,0.958,19.353,1.843,97
"Menard, IL",3.886,1.27,18.827,3.049,92
"Merced, CA",4.615,0.698,14.982,3.412,103
"Mercer, NJ",8.331,0.982,28.339,8.155,94
"Mercer, PA",6.97,1.029,16.537,3.644,94
"Mesa, CO",8.045,1.11,16.925,4.006,95
"Miami, KS",4.528,0.969,16.581,2.627,97
"Miami, OH",6.86,1.091,18.57,2.589,95
"Middlesex, CT",7.712,1.237,25.34,2.755,96
"Middlesex, MA",8.198,0.972,27.688,6.296,93
"Middlesex, NJ",8.578,0.939,25.162,3.07,97
"Midland, MI",6.537,0.881,22.811,2.133,98
"Midland, TX",8.544,1.243,23.019,2.002,95
"Miller, AR",6.614,0.997,13.584,3.17,91
"Milwaukee, WI",7.632,0.869,20.482,4.207,90
"Mineral, WV",3.963,1.019,13.954,3.827,94
"Minnehaha, SD",11.256,1.184,20.628,3.885,93
"Missoula, MT",10.479,1.279,17.211,3.411,97
"Mobile, AL",7.349,0.897,15.56,3.661,90
"Mohave, AZ",8.737,1.265,14.588,3.55,99
"Monmouth, NJ",9.025,1.126,27.297,4.412,94
